"기관명","홈페이지주소","오픈일자"
"축산물등급판정소","http://www.ekape.or.kr","2009-08-24"
"대검찰청 서울고등검찰청","http://www.spo.go.kr/highseoul","2009-08-24"
"대검찰청 서울고등검찰청 서울중앙지방검찰청","http://www.spo.go.kr/seoul","2009-08-24"
"대검찰청 서울고등검찰청 서울남부지방검찰청","http://www.spo.go.kr/southseoul","2009-08-24"
"대검찰청 서울고등검찰청 서울서부지방검찰청","http://www.spo.go.kr/westseoul","2009-08-24"
"대검찰청 서울고등검찰청 수원지방검찰청","http://www.spo.go.kr/suwon","2009-08-24"
"대검찰청 서울고등검찰청 의정부지방검찰청","http://www.spo.go.kr/uijeongbu","2009-08-24"
"대검찰청 광주고등검찰청 광주지방검찰청","http://www.spo.go.kr/suncheon","2009-08-24"
"대검찰청 대구고등검찰청 대구지방검찰청","http://www.spo.go.kr/gyeongju","2009-08-24"
"대검찰청 대구고등검찰청 대구지방검찰청","http://www.spo.go.kr/gimcheon","2009-08-24"
"대검찰청 서울고등검찰청 수원지방검찰청","http://www.spo.go.kr/yeoju","2009-08-24"
"대검찰청 대전고등검찰청 청주지방검찰청","http://www.spo.go.kr/yeongdong","2009-08-24"
"대검찰청 서울고등검찰청 춘천지방검찰청","http://www.spo.go.kr/sokcho","2009-08-24"
"대검찰청 서울고등검찰청 춘천지방검찰청","http://www.spo.go.kr/yeongwol","2009-08-24"
"대검찰청 서울고등검찰청 춘천지방검찰청","http://www.spo.go.kr/wonju","2009-08-24"
"전라북도 진안군","http://www.jinan.go.kr","2009-08-24"
"경상남도교육청 경상남도진주교육청","http://www.gnjje.go.kr","2009-08-24"
"대검찰청 부산고등검찰청 울산지방검찰청","http://www.spo.go.kr/ulsan","2009-08-25"
"전라남도 고흥군","http://igoheung.com","2009-08-25"
"대전광역시교육청 대전광역시동부교육청","http://www.djdbe.go.kr","2009-08-25"
"보건복지가족부 국립춘천병원","http://cnmh.go.kr","2009-08-25"
"문화체육관광부 사행산업통합감독위원회","http://www.ngcc.go.kr","2009-08-25"
"경기도교육청 경기도의정부교육청","http://www.goeujb.kr","2009-08-25"
"환경부","http://im.me.go.kr","2009-08-25"
"조선대학교","http://www.chosun.ac.kr","2009-08-25"
"경찰청 대전광역시지방경찰청 경무과","http://djdd.djpolice.go.kr","2009-08-25"
"경찰청 대전광역시지방경찰청 경무과","http://djsb.djpolice.go.kr","2009-08-25"
"대검찰청 대구고등검찰청 대구지방검찰청","http://www.spo.go.kr/andong","2009-08-26"
"대검찰청 대구고등검찰청 대구지방검찰청","http://www.spo.go.kr/pohang","2009-08-26"
"보건복지가족부 국립서울병원","http://www.snmh.go.kr","2009-08-26"
"대구광역시","http://council.daegu.go.kr","2009-08-26"
"문화체육관광부 국립중앙도서관 자료관리부 국립디지털도서관준비기획단","http://www.dlibrary.go.kr","2009-08-26"
"강원도 삼척시","http://health.samcheok.go.kr","2009-08-27"
"강원도 삼척시","http://tour.samcheok.go.kr","2009-08-27"
"대검찰청 대구고등검찰청 대구지방검찰청","http://www.spo.go.kr/sangju","2009-08-27"
"대검찰청 대구고등검찰청 대구지방검찰청","http://www.spo.go.kr/westdaegu","2009-08-27"
"대검찰청 대구고등검찰청 대구지방검찰청","http://www.spo.go.kr/yeongdeok","2009-08-27"
"대검찰청 대구고등검찰청 대구지방검찰청","http://www.spo.go.kr/uiseong","2009-08-27"
"농촌진흥청 한국농업대학","http://www.af.ac.kr","2009-08-27"
"경상남도 의령군","http://agri.uiryeong.go.kr","2009-08-28"
"경상남도 의령군","http://council.uiryeong.go.kr","2009-08-28"
"경상남도 의령군","http://culture.uiryeong.go.kr","2009-08-28"
"경상남도 의령군","http://health.uiryeong.go.kr","2009-08-28"
"경상남도 의령군","http://tour.uiryeong.go.kr","2009-08-28"
"경상남도 의령군","http://welfare.uiryeong.go.kr","2009-08-28"
"경상남도 의령군","http://young.uiryeong.go.kr","2009-08-28"
"경상남도 함안군","http://hamanart.or.kr","2009-08-28"
"경상남도 함안군","http://health.haman.go.kr","2009-08-28"
"경상남도 함안군","http://jumin.haman.go.kr","2009-08-28"
"경상남도 함안군","http://rda.haman.go.kr","2009-08-28"
"경상남도 함안군","http://tour.haman.go.kr","2009-08-28"
"경상남도 함안군","http://stadium.haman.go.kr","2009-08-28"
"경상남도 함안군","http://water.haman.go.kr","2009-08-28"
"전라북도교육청 전라북도군산교육청","http://afterschool.jbgse.kr","2009-08-28"
"울산광역시교육청","http://support.use.go.kr","2009-08-28"
"경상남도교육청 경상남도거제교육청 거제도서관","http://www.geojelib.or.kr","2009-08-28"
"경상북도 칠곡군","http://songjeong.go.kr","2009-08-28"
"인천광역시 강화군 농업기술센터","http://agri.ganghwa.go.kr","2009-08-28"
"농림수산식품부 국립농산물품질관리원","http://www.naqs.go.kr","2009-08-31"
"경상남도 남해군 주민생활지원과","http://www.hjlib.or.kr","2009-08-31"
"인천광역시 강화군 농업기술센터","http://www.armiae.com","2009-08-31"
"인천광역시 강화군 농업기술센터","http://www2.ganghwa.go.kr","2009-08-31"
"대전광역시","http://council.daejeon.go.kr","2009-08-31"
"부산광역시교육청 부산광역시립중앙도서관","http://www.joonganglib.busan.kr","2009-09-01"
"충청남도 금산군 금산다락원","http://www.gspl.kr","2009-09-01"
"인천광역시 강화군 농업기술센터","http://nonggi.ganghwa.go.kr","2009-09-01"
"보건복지가족부 국립재활원","http://www.nrc.go.kr","2009-09-01"
"경상남도교육청 경상남도합천교육청 합천도서관","http://www.hc-lib.or.kr","2009-09-02"
"부산광역시교육청 부산광역시립해운대도서관","http://www.haeundaelib.or.kr","2009-09-03"
"부산광역시교육청 부산광역시립중앙도서관","http://www.bel.go.kr","2009-09-03"
"부산광역시교육청 부산광역시과학교육원","http://www.bise.go.kr","2009-09-03"
"축산물등급판정소","http://mtrace.go.kr","2009-09-03"
"한국장애인고용촉진공단","http://campus.kead.or.kr/","2009-09-03"
"경기도 성남시","http://www.sncouncil.go.kr","2009-09-03"
"대구광역시","http://tour.daegu.go.kr","2009-09-03"
"대구광역시교육청 대구광역시교육정보원","http://www.edunavi.kr","2009-09-03"
"경상남도 의령군","http://golf.uiryeong.go.kr","2009-09-04"
"경상남도 밀양시","http://entsp.miryang.go.kr","2009-09-04"
"경상남도 밀양시","http://nongeop.miryang.go.kr","2009-09-04"
"경상남도 밀양시","http://woman.miryang.go.kr","2009-09-04"
"경상남도 밀양시","http://miribeol.miryang.go.kr","2009-09-04"
"경상남도 밀양시","http://health.miryang.go.kr","2009-09-04"
"경상남도 밀양시","http://tour.miryang.go.kr","2009-09-04"
"경기도 하남시","http://WWW.hanamlib.go.kr","2009-09-04"
"충청북도 옥천군","http://festival.oc.go.kr/seedling","2009-09-04"
"충청북도 옥천군","http://festival.oc.go.kr/grape","2009-09-04"
"부산광역시교육청 부산광역시립명장도서관","http://www.mjlib.kr","2009-09-04"
"강원도 환동해출장소","http://hwan.gwd.go.kr","2009-09-04"
"경상남도교육청 경상남도밀양교육청 하남도서관","http://www.hlib.or.kr","2009-09-04"
"경상북도 예천군","http://ycgcl.kr","2009-09-04"
"충청북도 제천시","http://www.jcyakcho.org","2009-09-04"
"서울특별시 금천구 의회사무국","http://council.geumcheon.go.kr","2009-09-04"
"경남교육청 김해도서관","http://www.gimhaelib.go.kr","2009-09-04"
"경상남도교육청 경상남도사천교육청 사천도서관","http://salib.or.kr","2009-09-04"
"부산광역시 영도구","http://newtown.yeongdo.go.kr","2009-09-07"
"부산광역시 영도구","http://hll.yeongdo.go.kr","2009-09-07"
"부산광역시 영도구","http://health.yeongdo.go.kr","2009-09-07"
"부산광역시 영도구","http://council.yeongdo.go.kr","2009-09-07"
"부산광역시 영도구","http://tour.yeongdo.go.kr","2009-09-07"
"보건복지가족부 국립목포병원","http://www.tbmokpo.go.kr","2009-09-07"
"대전광역시 시립미술관","http://dmma.metro.daejeon.kr","2009-09-07"
"부산광역시 기장군","http://www.gijang.go.kr","2009-09-07"
"대구광역시 달서구","http://www.dsedu.go.kr","2009-09-07"
"문화체육관광부 국립중앙극장","http://www.ntok.go.kr","2009-09-07"
"경상남도 양산시","http://placard.yangsan.go.kr","2009-09-07"
"경기도 군포시","http://www.gunpo.go.kr","2009-09-08"
"경상남도교육청 경상남도남해교육청 교육과","http://www.edunh.or.kr","2009-09-08"
"경기도","http://eduinfo.siheung.go.kr","2009-09-09"
"경상남도교육청 경상남도남해교육청 남해도서관","http://www.nhlib.or.kr","2009-09-09"
"경기도 양주시 의회사무과","http://yjcc.gyeonggi.kr","2009-09-09"
"전라북도 익산시","http://www.iksan.go.kr","2009-09-09"
"경상북도교육청 경상북도영덕교육청","http://www.yde.go.kr","2009-09-09"
"연천군시설관리공단","http://hantan.co.kr","2009-09-10"
"경상남도교육청 경상남도거창교육청","http://genius.gngce.go.kr","2009-09-10"
"대구광역시 중구","http://www.bongsanart.org","2009-09-11"
"부산광역시교육청 부산어린이회관","http://childpia.kr","2009-09-11"
"부산광역시교육청 부산광역시립사하도서관","http://www.sahalib.kr","2009-09-11"
"부산광역시교육청 부산광역시립구포도서관","http://gupolib.or.kr","2009-09-11"
"대전광역시","http://traffic.daejeon.go.kr","2009-09-11"
"한국건설교통기술평가원","http://www.kaia.re.kr","2009-09-11"
"경기도 가평군","http://www.gaplib.or.kr","2009-09-14"
"관동대학교","http://www.cku.ac.kr","2009-09-14"
"충청북도 영동소방서","http://www.ydfire.net/","2009-09-14"
"부산광역시교육청 부산광역시립반송도서관","http://www.bansonglib.or.kr","2009-09-14"
"경기도 성남시 분당구","http://www.bundang-gu.go.kr","2009-09-14"
"서울특별시 동대문구","http://council.ddm.go.kr","2009-09-14"
"축산물등급판정소","http://www.hqbrand.net","2009-09-14"
"전라북도 고창군","http://www.gochang.go.kr","2009-09-14"
"부산광역시교육청","http://dongnae.pen.go.kr","2009-09-15"
"마포구시설관리공단","http://www.mfmc.or.kr","2009-09-15"
"충청북도 옥천군","http://www.ocac.go.kr","2009-09-16"
"경상북도교육청 경상북도고령교육청 고령공공도서관","http://www.golib.go.kr","2009-09-17"
"대구광역시교육청 대구광역시립북부도서관","http://bukbu-lib.daegu.kr","2009-09-18"
"경상북도교육청 경상북도울릉교육청 울릉공공도서관","http://www.ullib.go.kr","2009-09-18"
"충청북도 제천시","http://okjcedu.jecheon.go.kr","2009-09-18"
"서울특별시교육청 서울관광고등학교","http://www.seoul-tour.hs.kr","2009-09-18"
"대전광역시","http://council.donggu.go.kr","2009-09-18"
"서울특별시은평구시설관리공단","http://www.efmc.or.kr/sports","2009-09-18"
"경상남도 사천시","http://council.sacheon.go.kr","2009-09-18"
"국가인권위원회","http://www.humanrights.go.kr","2009-09-18"
"전라남도교육청 전라남도무안교육청","http://www.jnmae.go.kr","2009-09-21"
"대전광역시 중구","http://council.djjunggu.go.kr","2009-09-21"
"강원도","http://gwfri.gwd.go.kr","2009-09-21"
"노동부 부산지방노동청","http://www.moel.go.kr/busan","2009-09-22"
"노동부 대구지방노동청","http://www.moel.go.kr/daegu","2009-09-22"
"노동부 대전지방노동청","http://www.moel.go.kr/daejeon","2009-09-22"
"노동부 광주지방노동청","http://www.moel.go.kr/gwangju","2009-09-22"
"노동부 경인지방노동청","http://www.moel.go.kr/jungbu","2009-09-22"
"노동부","http://www.moel.go.kr/kids","2009-09-22"
"노동부 서울지방노동청","http://www.moel.go.kr/seoul","2009-09-22"
"노동부 경인지방노동청 수원지청","http://www.moel.go.kr/gyeonggi","2009-09-22"
"울산광역시교육청 울산동부도서관","http://www.usdl.or.kr","2009-09-22"
"충청북도","http://www.ebizcb.net","2009-09-23"
"노동부 최저임금위원회","http://www.minimumwage.go.kr","2009-09-23"
"노동부 산업재해보상보험재심사위원회","http://iaciac.go.kr","2009-09-23"
"경기도 포천시","http://lib.pcs21.net","2009-09-23"
"전라북도 군산시","http://council.gunsan.go.kr","2009-09-23"
"문화체육관광부 홍보지원국 홍보정책관 정부발표지원과","http://ebrief.korea.kr","2009-09-23"
"한국장애인고용촉진공단","http://www.kead.or.kr","2009-09-23"
"서울특별시교육청 서울특별시강남교육청 중동중학교","http://joongdong.ms.kr","2009-09-23"
"전라남도교육청 전라남도순천교육청","http://www.sce.go.kr","2009-09-23"
"전라북도 군산시","http://lib.gunsan.go.kr","2009-09-24"
"대구광역시","http://www.dgscouncil.go.kr","2009-09-24"
"강원도","http://fire.gwd.go.kr","2009-09-24"
"경상남도교육청 경상남도진주교육청 진양도서관","http://www.jy-lib.or.kr","2009-09-24"
"서울특별시교육청 중동고등학교","http://joongdong.hs.kr","2009-09-24"
"경기도 이천시","http://www.icheonlll.go.kr","2009-09-24"
"부산광역시교육청 부산광역시학생교육문화회관","http://becs.kr","2009-09-25"
"통일부","http://unibook.unikorea.go.kr","2009-09-25"
"경상남도 고성군","http://agri.goseong.go.kr","2009-09-28"
"경상남도 고성군","http://dhp.goseong.go.kr","2009-09-28"
"경상남도 고성군","http://museum.goseong.go.kr","2009-09-28"
"경상남도 고성군","http://tal.goseong.go.kr","2009-09-28"
"경상남도 고성군","http://visit.goseong.go.kr","2009-09-28"
"환경부 국립환경과학원","http://www.nier.go.kr","2009-09-28"
"경상남도교육청 경상남도유아체험교육원","http://www.gnphei.go.kr","2009-09-28"
"대전광역시","http://lib.donggu.go.kr","2009-09-28"
"(재)한국석유품질관리원","http://www.kpetro.or.kr","2009-09-28"
"한국간행물윤리위원회","http://www.read-kpipa.or.kr","2009-09-28"
"강원도","http://www.ariaritour.com","2009-09-28"
"대전광역시 동구","http://www.donggu.go.kr","2009-09-28"
"서울특별시 금천구","http://www.geumcheon.go.kr","2009-09-28"
"부산광역시 기장군","http://tour.gijang.go.kr","2009-09-29"
"보건복지가족부","http://www.bokjiro.go.kr","2009-09-29"
"한국외국어대학교","http://www.hufs.ac.kr","2009-09-29"
"대전광역시","http://mayor.donggu.go.kr","2009-09-29"
"대전광역시","http://tour.donggu.go.kr","2009-09-29"
"서울대학교","http://my.snu.ac.kr","2009-09-29"
"농림수산식품부 국립수산물품질검사원","http://www.nfqs.go.kr","2009-09-29"
"충청북도 제천시","http://www.bakdaljae.org","2009-09-29"
"충청북도 제천시","http://www.woraksan.org","2009-09-29"
"강원도 속초시","http://www.sokcho.gangwon.kr","2009-09-29"
"충청북도","http://safe.cb119.net","2009-09-30"
"전라남도 영광군","http://www.ygcouncil.go.kr","2009-09-30"
"강원도 춘천시","http://www.i-soyang.org","2009-09-30"
"강원도 춘천시","http://www.iccl.or.kr","2009-09-30"
"한국석유공사","http://www.knoc.co.kr","2009-09-30"
"충청북도 소방본부","http://www.cb119.net","2009-09-30"
"전라남도 영광군","http://www.yeonggwang.go.kr","2009-10-01"
"전라남도 영암군","http://www.yacl.go.kr","2009-10-01"
"대구광역시 서구 보건소","http://health.dgs.go.kr","2009-10-01"
"경상남도교육청 경상남도의령교육청","http://www.gnure.kr","2009-10-01"
"경기도 군포시","https://water.gunpo21.net","2009-10-05"
"한국조폐공사","http://www.komsco.com","2009-10-05"
"강원도 정선군","http://bp.jeongseon.go.kr","2009-10-05"
"강원도 정선군","http://dm.jeongseon.go.kr","2009-10-05"
"강원도 정선군","http://bm.jeongseon.go.kr","2009-10-05"
"강원도 정선군","http://gh.jeongseon.go.kr","2009-10-05"
"강원도 정선군","http://ig.jeongseon.go.kr","2009-10-05"
"강원도 정선군","http://js.jeongseon.go.kr","2009-10-05"
"강원도 정선군","http://nm.jeongseon.go.kr","2009-10-05"
"강원도 정선군","http://sb.jeongseon.go.kr","2009-10-05"
"강원도 정선군","http://si.jeongseon.go.kr","2009-10-05"
"인천광역시 연수구 기획감사실","http://council.yeonsu.go.kr","2009-10-05"
"울산광역시교육청 울주도서관","http://www.usul.or.kr","2009-10-05"
"경상남도 소방본부","http://gnfire.go.kr","2009-10-06"
"경기도교육청 경기도군포의왕교육청","http://www.kengu.go.kr","2009-10-06"
"경기도 부천시","http://reserv.bucheon.go.kr","2009-10-06"
"인천광역시교육청 인천광역시북구도서관","http://www.ipl.go.kr","2009-10-06"
"강원도 정선군","http://jshealth.jeongseon.go.kr","2009-10-07"
"강원도 정선군","http://women.jeongseon.go.kr","2009-10-07"
"대구광역시 달서구","http://www.dalseocouncil.daegu.kr","2009-10-07"
"경기도 부천시","http://clean.bucheon.go.kr","2009-10-07"
"광주광역시도시공사","http://www.gmcc.co.kr","2009-10-07"
"경기도 부천시","http://nanum4all.bucheon4u.kr","2009-10-07"
"경상북도 영천시","http://health.yc.go.kr","2009-10-08"
"경기도 양평군","http://www.yplib.or.kr","2009-10-08"
"국토해양부 중앙해양안전심판원","http://www.kmst.go.kr","2009-10-08"
"여성가족부","http://www.wngonet.go.kr","2009-10-08"
"한국환경산업기술원","http://www.keiti.re.kr","2009-10-09"
"경기도 수원시","http://tv.suwon.go.kr","2009-10-09"
"덕성여자대학교","http://adult.duksung.ac.kr","2009-10-09"
"한국소방산업기술원","http://www.kfi.or.kr","2009-10-09"
"연천군시설관리공단","http://hantanctl.or.kr","2009-10-09"
"경기도 성남시 수정구","http://www.sujeong-gu.go.kr","2009-10-09"
"부산광역시교육청 부산광역시교육연구정보원","http://hspage.busanedu.net","2009-10-09"
"경상북도교육청 경상북도울진교육청 울진공공도서관","http://www.uljinlib.or.kr","2009-10-12"
"경기도 수원시","http://news.suwon.ne.kr","2009-10-12"
"충청북도 음성소방서","http://us119.or.kr","2009-10-12"
"대구광역시교육청 대구광역시립달성도서관","http://www.dsl.daegu.kr","2009-10-12"
"한국과학기술정보연구원","http://www.kisti.re.kr","2009-10-12"
"대전광역시","http://news.donggu.go.kr","2009-10-12"
"경기도 이천시","http://www.icheon.go.kr","2009-10-12"
"서울특별시 동작구","http://www.dongjak.go.kr","2009-10-12"
"서울특별시 광진구","http://www.gwangjin.go.kr","2009-10-12"
"경상북도 성주군 농업기술센터","http://atc.sj.go.kr","2009-10-13"
"경상북도 영천시","http://www.01000.go.kr","2009-10-13"
"경상남도교육청 경상남도덕유교육원","http://dukyoou.or.kr","2009-10-13"
"경상남도","http://tv.gsnd.net","2009-10-13"
"서울특별시서대문구도시관리공단","http://www.sscmc.or.kr","2009-10-13"
"국토해양부 용산공원조성추진기획단","http://www.park.go.kr","2009-10-13"
"부산광역시교육청 부산광역시학생교육원","http://www.bsec.go.kr","2009-10-13"
"대구광역시","http://www.dgs.go.kr/sc","2009-10-14"
"대구광역시","http://www.dgs.go.kr/silver","2009-10-14"
"대구광역시","http://culture.dgs.go.kr","2009-10-14"
"중소기업진흥공단","http://sbti.sbc.or.kr","2009-10-14"
"서울특별시","http://address.seoul.go.kr","2009-10-14"
"전라남도교육청 전라남도영광교육청 영광공공도서관","http://www.yglib.kr","2009-10-15"
"경상북도교육청 경상북도의성교육청 의성공공도서관","http://www.uiseonglib.go.kr","2009-10-15"
"부산광역시교육청 부산광역시교육연구정보원","http://book.busanedu.net","2009-10-15"
"경기도 양평군","http://child.yplib.or.kr","2009-10-15"
"교통안전공단","http://www.ts2020.kr","2009-10-15"
"경상남도 사천시","http://4000mall.com","2009-10-15"
"한국고전번역원","http://edu.itkc.or.kr","2009-10-16"
"한국고전번역원","http://db.itkc.or.kr","2009-10-16"
"전라북도 완주군","http://culture.wanju.go.kr","2009-10-16"
"한국보건의료인국가시험원","http://www.kuksiwon.or.kr","2009-10-16"
"목포대학교","http://www.mokpo.ac.kr","2009-10-16"
"강원도","http://honor.gwd.go.kr","2009-10-16"
"한국발명진흥회","http://www.kipa.org","2009-10-16"
"충청북도 충주시 충주시립도서관","http://cjdl.net","2009-10-16"
"서울특별시 상수도사업본부 본부 시설관리부 전산과","http://i121.seoul.go.kr/egoji","2009-10-16"
"SH공사 기획조정실 홈페이지TF팀","http://www.i-sh.co.kr","2009-10-16"
"전라남도교육청 전라남도광양평생교육관","http://www.gylife.go.kr","2009-10-19"
"서울특별시강동구도시관리공단","http://dmsoccer.igangdong.or.kr","2009-10-19"
"서울특별시강동구도시관리공단","http://gdparking.igangdong.or.kr","2009-10-19"
"서울특별시강동구도시관리공단","http://haegonggym.igangdong.or.kr","2009-10-19"
"경상북도 영천시","http://www.yc.go.kr","2009-10-19"
"서울특별시강동구도시관리공단","http://www.gdfamilycamp.or.kr","2009-10-19"
"서울특별시강동구도시관리공단","http://www.gdgumin.or.kr","2009-10-19"
"서울특별시강동구도시관리공단","http://iljasan.igangdong.or.kr","2009-10-19"
"서울특별시강동구도시관리공단","http://www.onjo.or.kr","2009-10-19"
"연천군시설관리공단","http://yccs.or.kr","2009-10-19"
"경기도 성남시 중원구","http://www.jungwongu.go.kr","2009-10-19"
"충청북도 청원군","http://bio.puru.net","2009-10-19"
"충주대학교","http://temp-main.cjnu.ac.kr","2009-10-19"
"경상남도 합천군","http://www.hc.go.kr","2009-10-19"
"전주교육대학교","http://www.jnue.kr","2009-10-20"
"강원도 평창군","http://cl.happy700.or.kr","2009-10-20"
"대구광역시 달서구 첨단문화회관","http://www.dscf.or.kr","2009-10-20"
"광주광역시환경시설공단","http://www.eco-g.or.kr","2009-10-20"
"구리농수산물도매시장관리공사","http://www.gamaco.co.kr","2009-10-20"
"환경부 국립환경과학원","http://sodac.nier.go.kr","2009-10-20"
"한국고전번역원","http://www.itkc.or.kr","2009-10-20"
"경상북도교육청 경상북도영덕교육청 영덕공공도서관","http://www.ydl.or.kr","2009-10-21"
"한국한의학연구원","http://jisik.kiom.re.kr","2009-10-21"
"인천광역시부평구시설관리공단","http://bpss.or.kr","2009-10-21"
"한국생산성본부","http://kpc.or.kr","2009-10-21"
"부산광역시 영도구","http://culture.yeongdo.go.kr","2009-10-22"
"울산광역시 울주군","http://tour.ulju.ulsan.kr","2009-10-22"
"경상북도교육청 경상북도영천교육청 영천금호공공도서관","http://www.yklib.go.kr","2009-10-22"
"경상북도 상주시","http://health.sangju.go.kr","2009-10-22"
"경기도교육청 경기도시흥교육청","http://www.goesh.kr","2009-10-23"
"전라북도 고창군","http://lib.gccl.kr","2009-10-23"
"인천광역시 미추홀도서관","http://www.michuhollib.go.kr","2009-10-23"
"인천광역시서구시설관리공단","http://www.issi.or.kr","2009-10-23"
"경상남도교육청 경상남도통영교육청 통영도서관","http://www.tylib.or.kr","2009-10-23"
"전라남도","http://www.jares.go.kr","2009-10-23"
"경상북도 상주시","http://www.sangju.go.kr","2009-10-23"
"한국환경산업기술원","http://konetic.ecoedu.go.kr","2009-10-26"
"충청남도교육청 충청남도학생회관","http://www.cnsec.or.kr","2009-10-26"
"대전광역시교육청 대전학생해양수련원","http://www.djsea.or.kr","2009-10-26"
"대구광역시","http://1366.daegu.go.kr","2009-10-27"
"전라남도 목포시","http://www.mokpo.go.kr","2009-10-27"
"충청남도 태안군","http://www.taean.go.kr","2009-10-27"
"경기도 이천시","http://council.icheon.go.kr","2009-10-28"
"전라북도 임실군","http://www.imsil.go.kr","2009-10-28"
"경상북도","http://www.gbtour.net","2009-10-28"
"광주광역시교육청 광주광역시동부교육청","http://dongbu.gen.go.kr","2009-10-28"
"제주특별자치도교육청 제주시교육청","http://www.jjse.go.kr","2009-10-28"
"경기도 의정부시","http://www.ujbcl.go.kr","2009-10-28"
"울산광역시 소방본부","http://onsan119.ulsan.go.kr","2009-10-29"
"울산광역시 소방본부","http://dongbu119.ulsan.go.kr","2009-10-29"
"울산광역시 소방본부","http://nambu119.ulsan.go.kr","2009-10-29"
"울산광역시 소방본부","http://joongbu119.ulsan.go.kr","2009-10-29"
"울산광역시 소방본부","http://fire.ulsan.go.kr","2009-10-29"
"전라북도 고창군","http://culture.gccl.kr","2009-10-29"
"행정안전부 국가기록원","http://www.archives.go.kr","2009-10-29"
"한국마사회","http://www.kra.co.kr","2009-10-29"
"서울특별시교육청 서울특별시교육위원회","http://smbe.sen.go.kr","2009-10-30"
"전라남도교육청 전라남도영암교육청","http://www.jnyae.go.kr","2009-10-30"
"전라남도 목포시","http://council.mokpo.go.kr","2009-10-30"
"행정안전부 국가기록원","http://contents.archives.go.kr","2009-10-30"
"경상북도 예천군 행정지원과","http://cn.ycg.kr","2009-10-30"
"경상북도 예천군 행정지원과","http://jp.ycg.kr","2009-10-30"
"전라북도교육청","http://new.jbe.go.kr","2009-11-02"
"대신대학교","http://www.daeshin.ac.kr","2009-11-02"
"경기도","http://museum.yonginsi.net","2009-11-02"
"충청남도 서산시","http://sports.seosan.go.kr","2009-11-02"
"경상북도","http://council.gb.go.kr","2009-11-02"
"경상북도 울진군","http://www.uljin.go.kr","2009-11-02"
"대구광역시교육청 대구광역시립대봉도서관","http://dblib.daegu.kr","2009-11-02"
"행정안전부 국가기록원","http://search.archives.go.kr","2009-11-02"
"국토해양부","http://klis.daejeon.go.kr/sis/index.jsp","2009-11-02"
"서울특별시 송파구","http://www.songpa.go.kr","2009-11-02"
"경상북도 울릉군 농업기술센터","http://www.ula.go.kr","2009-11-03"
"경기도시공사","http://www.gico.or.kr","2009-11-03"
"강원도 평창군","http://www.yes-pc.net","2009-11-03"
"강원도 평창군","http://www.happy700.or.kr","2009-11-03"
"과학기술정책연구원","http://www.stepi.re.kr","2009-11-03"
"경상북도 청도군","http://tour.cd.go.kr","2009-11-03"
"경상북도 김천시","http://www.gca.or.kr","2009-11-03"
"경상북도 김천시","http://council.gc.go.kr","2009-11-03"
"전라북도 남원시","http://www.namwon.go.kr","2009-11-03"
"경기도 용인시","http://iyongin.or.kr","2009-11-03"
"부산광역시 동구","http://www.bsdonggu.go.kr","2009-11-03"
"서울특별시 동대문구","http://www.ddm.go.kr","2009-11-03"
"경기도 의왕시 의회 의회사무과","http://council.uw21.net","2009-11-04"
"김포시시설관리공단","http://www.gimposisul.or.kr","2009-11-04"
"전쟁기념사업회","http://www.warmemo.or.kr","2009-11-04"
"환경관리공단","http://www.emissiontrade.go.kr","2009-11-04"
"경상남도 진주시 의회사무국","http://www.jinjucl.com","2009-11-04"
"경상북도 상주시","http://cyberedu.sangju.go.kr","2009-11-04"
"지식경제부 기술표준원","http://e-ks.kr","2009-11-04"
"부산광역시 동구 총무국 민원봉사과","http://silver.bsdonggu.go.kr","2009-11-04"
"부산광역시 동구 총무국 민원봉사과","http://council.bsdonggu.go.kr","2009-11-04"
"부산광역시 동구 총무국 민원봉사과","http://health.bsdonggu.go.kr","2009-11-04"
"부산광역시 사하구","http://lll.saha.go.kr","2009-11-05"
"경기도 의회사무처","http://www.ggc.go.kr","2009-11-05"
"한밭대학교","http://www.hanbat.ac.kr","2009-11-05"
"한국국제협력단","http://koica.go.kr","2009-11-05"
"경상북도교육청 경상북도청도교육청 청도공공도서관","http://chongdolib.or.kr","2009-11-05"
"환경부 국립환경과학원","http://kencis.me.go.kr","2009-11-05"
"대전광역시","http://health.donggu.go.kr","2009-11-05"
"대전광역시","http://nature.donggu.go.kr","2009-11-05"
"대전광역시","http://welfare.donggu.go.kr","2009-11-05"
"국토해양부","http://klis.jeonbuk.go.kr/sis/index.jsp","2009-11-05"
"경상북도 문경시 문경새재관리사무소","http://ecopark.gbmg.go.kr","2009-11-06"
"법제처","http://oneclick.law.go.kr","2009-11-06"
"경상북도 청송군","http://ub.or.kr","2009-11-06"
"경기도교육청 경기도동두천양주교육청","http://asp.dyoe.kr","2009-11-06"
"충청남도 논산시","http://www.nonsancl.go.kr","2009-11-06"
"지식경제부 기술표준원","http://www.kats.go.kr/nep","2009-11-06"
"전라북도 전주시","http://health.jeonju.go.kr","2009-11-09"
"제주대학교 평생교육원","http://psg.jejunu.ac.kr","2009-11-09"
"제주대학교 제주대학교외국어교육원","http://fli.jejunu.ac.kr","2009-11-09"
"송원대학교","http://www.songwon.ac.kr","2009-11-09"
"경기도교육청 경기도이천교육청","http://www.goeic.kr","2009-11-09"
"경기도교육청 경기평생교육학습관","http://www.gglec.go.kr","2009-11-09"
